benchmark,train_size,dataset,subset,seed,method,status,n_train,n_test,Q,n_final,n_candidate,n_vem,standardize_x,standardize_y,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,pred_sec,best_loss,gamma_mean,gamma_entropy,kl_coeff,C_std_median,raw_mean_crps,raw_rmse
pdebench,,PDEBench-Burgers,near_threshold,0,vem_em_learned_qw,ok,1600,106,3,25,100,50,,,raw,106,0,0.851965025399666,0.35622110962867737,78.116204900085,0.7358490566037735,0.8552223078375035,0.8018867924528302,1.0190602340971628,2.198360100039281,75.91784480004571,73.12352752685547,0.7559008598327637,0.5117336511611938,68.81185150146484,0.05929084122180939,,
pdebench,,PDEBench-Burgers,far_from_threshold,0,vem_em_learned_qw,ok,1600,294,3,25,100,50,,,raw,294,0,0.7337724702036179,0.22171233594417572,78.116204900085,0.8129251700680272,0.5631046539636064,0.8571428571428571,0.6709805804064533,2.198360100039281,75.91784480004571,73.12352752685547,0.7559008598327637,0.5117336511611938,68.81185150146484,0.05929084122180939,,
pdebench,,PDEBench-Burgers,all,1,vem_em_learned_qw,ok,1600,400,3,25,100,50,,,raw,400,0,0.764582989901981,0.2537771463394165,77.79109090002021,0.7575,0.5809382630183261,0.825,0.6922306362709371,2.2712194999912754,75.51987140002893,73.2868881225586,0.7554500699043274,0.5118119716644287,68.74394989013672,0.05958119407296181,,
pdebench,,PDEBench-Burgers,near_threshold,1,vem_em_learned_qw,ok,1600,106,3,25,100,50,,,raw,106,0,0.8741836390443248,0.35718297958374023,77.79109090002021,0.7075471698113207,0.7593557457983214,0.7452830188679245,0.9048281797430551,2.2712194999912754,75.51987140002893,73.2868881225586,0.7554500699043274,0.5118119716644287,68.74394989013672,0.05958119407296181,,
pdebench,,PDEBench-Burgers,far_from_threshold,1,vem_em_learned_qw,ok,1600,294,3,25,100,50,,,raw,294,0,0.7209922624365839,0.21649479866027832,77.79109090002021,0.7755102040816326,0.5166108712677154,0.8537414965986394,0.6155798212775885,2.2712194999912754,75.51987140002893,73.2868881225586,0.7554500699043274,0.5118119716644287,68.74394989013672,0.05958119407296181,,
pdebench,,PDEBench-Burgers,all,2,vem_em_learned_qw,ok,1600,400,3,25,100,50,,,raw,400,0,0.7547614516871929,0.24727922677993774,82.96672760002548,0.79,0.5695447891376161,0.8325,0.678654474782102,2.2423922999878414,80.72433530003764,73.18070983886719,0.7553348541259766,0.5120355486869812,68.815673828125,0.05902818217873573,,
pdebench,,PDEBench-Burgers,near_threshold,2,vem_em_learned_qw,ok,1600,106,3,25,100,50,,,raw,106,0,0.7940223089356105,0.3184080719947815,82.96672760002548,0.7358490566037735,0.8060907938797155,0.7830188679245284,0.960516424310474,2.2423922999878414,80.72433530003764,73.18070983886719,0.7553348541259766,0.5120355486869812,68.815673828125,0.05902818217873573,,
pdebench,,PDEBench-Burgers,far_from_threshold,2,vem_em_learned_qw,ok,1600,294,3,25,100,50,,,raw,294,0,0.740095526813421,0.2216341495513916,82.96672760002548,0.8095238095238095,0.4842594949108728,0.8503401360544217,0.5770307786936414,2.2423922999878414,80.72433530003764,73.18070983886719,0.7553348541259766,0.5120355486869812,68.815673828125,0.05902818217873573,,
pdebench,,PDEBench-Burgers,all,3,vem_em_learned_qw,ok,1600,400,3,25,100,50,,,raw,400,0,0.8014127685192114,0.2696148753166199,84.39929269999266,0.7825,0.5706994769974831,0.82,0.6800303702305739,2.237182400014717,82.16211029997794,73.21867370605469,0.7550835013389587,0.511952817440033,68.70366668701172,0.05939866602420807,,
pdebench,,PDEBench-Burgers,near_threshold,3,vem_em_learned_qw,ok,1600,106,3,25,100,50,,,raw,106,0,0.9061083490502742,0.37942248582839966,84.39929269999266,0.7264150943396226,0.6838670431858072,0.7641509433962265,0.814877842560531,2.237182400014717,82.16211029997794,73.21867370605469,0.7550835013389587,0.511952817440033,68.70366668701172,0.05939866602420807,,
