benchmark,dataset,train_size,seed,method,subset,n_train,n_test,n_eval,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
pdebench_burgers,PDEBench Burgers ShockJump,200,2,dkl_svgp,all,200,400,400,0.884006917476654,0.45638328790664673,0.7456552000003285,0.6725,1.2730487880432093,0.7175,1.5169311932949694
pdebench_burgers,PDEBench Burgers ShockJump,200,2,dkl_svgp,near_threshold,200,400,106,1.2724756002426147,0.7914944291114807,0.7456552000003285,0.5377358490566038,1.3933697997198742,0.5849056603773585,1.6603025216646299
pdebench_burgers,PDEBench Burgers ShockJump,200,2,dkl_svgp,far_from_threshold,200,400,294,0.6924095153808594,0.33556094765663147,0.7456552000003285,0.7210884353741497,1.2296677430169287,0.7653061224489796,1.4652394898691736
pdebench_burgers,PDEBench Burgers ShockJump,200,2,lmjgp_predict_vi,all,200,400,400,0.8899238705635071,0.3535909652709961,590.8773679000005,0.8525,1.4681305724978748,0.895,1.7493854769503445
pdebench_burgers,PDEBench Burgers ShockJump,200,2,lmjgp_predict_vi,near_threshold,200,400,106,1.2286572456359863,0.6833945512771606,590.8773679000005,0.7358490566037735,3.073342201016633,0.8113207547169812,3.662113106880954
pdebench_burgers,PDEBench Burgers ShockJump,200,2,lmjgp_predict_vi,far_from_threshold,200,400,294,0.7302230000495911,0.23468223214149475,590.8773679000005,0.8945578231292517,0.8893808016713837,0.9251700680272109,1.0597625899685605
pdebench_burgers,PDEBench Burgers ShockJump,200,3,xgb_bootstrap,all,200,400,400,0.8355215936763593,0.3856717646121979,1.655789200005529,0.925,2.0269998482238365,0.9375,2.415319292908782
pdebench_burgers,PDEBench Burgers ShockJump,200,3,xgb_bootstrap,near_threshold,200,400,106,1.1446410679446455,0.5920052528381348,1.655789200005529,0.8207547169811321,2.1413636356712678,0.8490566037735849,2.55159215078489
pdebench_burgers,PDEBench Burgers ShockJump,200,3,xgb_bootstrap,far_from_threshold,200,400,294,0.6909448251466398,0.31127941608428955,1.655789200005529,0.9625850340136054,1.985766645946871,0.9693877551020408,2.3661869019738586
pdebench_burgers,PDEBench Burgers ShockJump,200,3,dkl_svgp,all,200,400,400,0.937211811542511,0.4571826457977295,0.7983776999972179,0.8425,1.9750524057493941,0.85,2.353420097338673
pdebench_burgers,PDEBench Burgers ShockJump,200,3,dkl_svgp,near_threshold,200,400,106,1.4609192609786987,0.8591639399528503,0.7983776999972179,0.6509433962264151,1.8234147317463996,0.6509433962264151,2.1727326641984215
pdebench_burgers,PDEBench Burgers ShockJump,200,3,dkl_svgp,far_from_threshold,200,400,294,0.6523430943489075,0.312250554561615,0.7983776999972179,0.9115646258503401,2.0297244922946915,0.9217687074829932,2.4185659065661103
pdebench_burgers,PDEBench Burgers ShockJump,200,3,lmjgp_predict_vi,all,200,400,400,0.9020296931266785,0.36316826939582825,600.2225572000025,0.8275,1.4394706349381556,0.87,1.7152350549943651
pdebench_burgers,PDEBench Burgers ShockJump,200,3,lmjgp_predict_vi,near_threshold,200,400,106,1.3243181705474854,0.7510777711868286,600.2225572000025,0.5943396226415094,2.5228414637528207,0.6698113207547169,3.006151019543408
pdebench_burgers,PDEBench Burgers ShockJump,200,3,lmjgp_predict_vi,far_from_threshold,200,400,294,0.688975989818573,0.223309725522995,600.2225572000025,0.9115646258503401,1.0488675469981745,0.9421768707482994,1.249802768456275
pdebench_burgers,PDEBench Burgers ShockJump,200,4,xgb_bootstrap,all,200,400,400,0.7804444945404554,0.35064586997032166,1.6202860000048531,0.9175,1.8270468488207667,0.9425,2.1770605986338913
pdebench_burgers,PDEBench Burgers ShockJump,200,4,xgb_bootstrap,near_threshold,200,400,106,0.9970954997129154,0.5065770745277405,1.6202860000048531,0.839622641509434,2.044379622380877,0.8962264150943396,2.4360285711382206
