dataset,train_size,seed,family,method,rmse,crps,cov90,width90,cov95,width95,wall_sec,mean_crps,coverage_90,mean_width_90,coverage_95,mean_width_95,omitted_eval_points,standardize_x,standardize_y,Q,n,MC_num,train_time_sec,pred_time_sec,cem_map_train_time_sec,cem_vi_train_time_sec,coeff_gp_lengthscale,mean_coeff_gp_var,laplace_mean_var,laplace_hessian_median,laplace_hessian_failures,vi_query_var_mean,vi_anchor_var_mean,vi_kl,vi_best_loss,has_qV_gradient,best_elbo,R,residual_scale
Wine Quality,200,1,cem_em_repaired,cem_em_supervised_gp_cond_ensemble,0.8927460783088973,0.5171926021575928,0.78125,2.086786892271414,0.84375,2.4865599499224644,226.16292470000917,0.5171926021575928,0.78125,2.086786892271414,0.84375,2.4865599499224644,0,1,0,3,25,3,209.43824779998977,16.724676900019404,154.55435409999336,54.883893699996406,4.637701511383057,0.027611903846263885,0.052528928965330124,0.01945686899125576,0,0.03215474635362625,0.0018943236209452152,8936.8173828125,316.42047119140625,,,,
Wine Quality,200,1,cem_em_repaired,cem_em_supervised_laplace_ensemble,0.9211452433862992,0.5255200266838074,0.765625,2.1196287967205474,0.859375,2.5256934927795927,224.82454399997368,0.5255200266838074,0.765625,2.1196287967205474,0.859375,2.5256934927795927,0,1,0,3,25,3,209.43824779998977,15.386296199983917,154.55435409999336,54.883893699996406,4.637701511383057,0.027611903846263885,0.052528928965330124,0.01945686899125576,0,0.03215474635362625,0.0018943236209452152,8936.8173828125,316.42047119140625,,,,
Wine Quality,200,1,cem_em_repaired,cem_em_supervised_vi_fullcov_ensemble,0.9220331617573497,0.5160539746284485,0.78125,2.096651758379525,0.859375,2.4983146629056754,225.2123231999867,0.5160539746284485,0.78125,2.096651758379525,0.859375,2.4983146629056754,0,1,0,3,25,3,209.43824779998977,15.774075399996946,154.55435409999336,54.883893699996406,4.637701511383057,0.027611903846263885,0.052528928965330124,0.01945686899125576,0,0.03215474635362625,0.0018943236209452152,8936.8173828125,316.42047119140625,,,,
Wine Quality,200,1,lmjgp_supervised_reparam,lmjgp_supervised_reparam,0.8378930119851781,0.4779443144798279,0.78125,2.220390562388857,0.859375,2.645758542029338,36.65444610000122,0.4779443144798279,0.78125,2.220390562388857,0.859375,2.645758542029338,0,1,0,3,25,3,20.739555299980566,15.914890800020657,,,,,,,,,,,,True,,,
Wine Quality,200,1,lmjgp_lowrank_residual,lmjgp_lowrank_pls_pca,0.8474277115621034,0.47728121280670166,0.890625,2.3264085929915956,0.921875,2.7720868172560813,46.491055700025754,0.47728121280670166,0.890625,2.3264085929915956,0.921875,2.7720868172560813,0,,,,,,30.75553460000083,15.735521100024926,,,,,,,,,,,,,-4.240909242589103,10,1.0
Wine Quality,200,1,lmjgp_lowrank_residual,lmjgp_lowrank_cem_mean_pls_pca,0.9223667555519814,0.5046525597572327,0.8125,2.284265656167518,0.875,2.721870410747604,47.28214530000696,0.5046525597572327,0.8125,2.284265656167518,0.875,2.721870410747604,0,,,,,,31.15673680001055,16.12540849999641,,,,,,,,,,,,,-4.460960650098647,10,1.0
Wine Quality,200,1,lmjgp_lowrank_residual,lmjgp_lowrank_cem_mean_cem_svd,0.8011517217874864,0.45507925748825073,0.8125,2.1478103390714858,0.875,2.5592738716847965,46.53966529999161,0.45507925748825073,0.8125,2.1478103390714858,0.875,2.5592738716847965,0,,,,,,30.98065039998619,15.559014900005423,,,,,,,,,,,,,-4.339152505294294,10,1.0
Parkinsons Telemonitoring,200,1,cem_em_repaired,cem_em_transductive_gp_cond_ensemble,10.230648223864357,6.46652889251709,0.578125,18.095229589599775,0.671875,21.561795959516957,156.1200317000039,6.46652889251709,0.578125,18.095229589599775,0.671875,21.561795959516957,0,0,0,5,25,3,127.8247256000177,28.295306099986192,100.04665110001224,27.77807450000546,62.46577072143555,4.279986023902893e-05,0.0002622203901410103,0.1374453604221344,0,0.005593647714704275,0.007478452753275633,44734.64453125,781.6035766601562,,,,
Parkinsons Telemonitoring,200,1,cem_em_repaired,cem_em_transductive_laplace_ensemble,9.914698072369138,6.285961151123047,0.59375,17.90130304928391,0.6875,21.33071823415729,157.50515170002473,6.285961151123047,0.59375,17.90130304928391,0.6875,21.33071823415729,0,0,0,5,25,3,127.8247256000177,29.680426100007026,100.04665110001224,27.77807450000546,62.46577072143555,4.279986023902893e-05,0.0002622203901410103,0.1374453604221344,0,0.005593647714704275,0.007478452753275633,44734.64453125,781.6035766601562,,,,
Parkinsons Telemonitoring,200,1,cem_em_repaired,cem_em_transductive_vi_fullcov_ensemble,9.282411105280453,5.5838623046875,0.640625,18.551330812378097,0.703125,22.10527408748084,158.18250570000964,5.5838623046875,0.640625,18.551330812378097,0.703125,22.10527408748084,0,0,0,5,25,3,127.8247256000177,30.357780099991942,100.04665110001224,27.77807450000546,62.46577072143555,4.279986023902893e-05,0.0002622203901410103,0.1374453604221344,0,0.005593647714704275,0.007478452753275633,44734.64453125,781.6035766601562,,,,
