dataset,seed,method,split_type,n,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Appliances Energy Prediction,0,lmjgp_transductive,random_row,35,raw,200,0,104.63352762178492,39.52360534667969,85.74277410001378,0.835,133.3857935974683,0.87,158.9389762205535
Appliances Energy Prediction,0,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,96.04425785991808,37.7403450012207,80.56924250000156,0.835,143.1656783846629,0.875,170.59242771421523
Appliances Energy Prediction,0,lmjgp_supervised,random_row,35,raw,200,0,101.1282248542398,38.95725631713867,86.50501989998156,0.83,134.445784839925,0.86,160.20203368968131
Appliances Energy Prediction,0,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,93.87483351032154,37.69370651245117,81.81992199999513,0.815,128.9578650668942,0.865,153.662773947086
Appliances Energy Prediction,1,xgb_bootstrap,random_row,35,raw,200,0,110.81323475743802,47.94404602050781,6.496666799997911,0.825,148.35535696618254,0.88,176.77631115797743
Appliances Energy Prediction,1,dkl_svgp,random_row,35,raw,200,0,119.85742806777733,54.55758285522461,1.3461368000134826,0.575,54.540638416724214,0.66,64.9891791215018
Appliances Energy Prediction,1,lmjgp_transductive,random_row,35,raw,200,0,117.22799942180959,48.35520553588867,83.03582230000757,0.765,125.77483486911049,0.805,149.86995953057044
Appliances Energy Prediction,1,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,104.00504351646563,42.3651237487793,83.84033719997387,0.765,124.77242850227805,0.825,148.67551867293224
Appliances Energy Prediction,1,lmjgp_supervised,random_row,35,raw,200,0,116.00456297170024,46.06517028808594,79.87087759998394,0.815,129.99254720847145,0.835,154.8956737624311
Appliances Energy Prediction,1,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,112.5753868217012,46.382965087890625,79.15984099998605,0.79,129.7453445842393,0.845,154.60111366757522
Appliances Energy Prediction,2,xgb_bootstrap,random_row,35,raw,200,0,89.24035377188011,41.59281921386719,5.177756999997655,0.91,200.9174515841582,0.93,239.4079099307832
Appliances Energy Prediction,2,dkl_svgp,random_row,35,raw,200,0,113.84089327725049,52.87283706665039,1.3108952000038698,0.58,67.6909886157562,0.655,80.65878786471932
Appliances Energy Prediction,2,lmjgp_transductive,random_row,35,raw,200,0,111.96167503717128,47.265384674072266,82.4838146000111,0.81,170.94127478099443,0.85,203.68909217962812
Appliances Energy Prediction,2,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,95.0861647021597,42.950965881347656,81.15444209999987,0.79,167.8486638778666,0.835,200.00401899803416
Appliances Energy Prediction,2,lmjgp_supervised,random_row,35,raw,200,0,106.22200985537152,44.403602600097656,81.79934590001358,0.815,160.98743821047898,0.87,191.82836435160513
Appliances Energy Prediction,2,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,94.17417433985254,43.6764030456543,79.73115920001874,0.795,180.84116663499,0.845,215.48554091326687
Appliances Energy Prediction,3,xgb_bootstrap,random_row,35,raw,200,0,97.65740675252046,41.875267028808594,4.924239999993006,0.9,190.02269151674577,0.91,226.4260026033152
Appliances Energy Prediction,3,dkl_svgp,random_row,35,raw,200,0,117.30505487476891,55.414608001708984,1.4248590000206605,0.655,81.24509158431017,0.68,96.8094977065118
Appliances Energy Prediction,3,lmjgp_transductive,random_row,35,raw,200,0,101.08718287359548,40.147247314453125,81.29855509998742,0.84,173.41374075419313,0.865,206.63521709984468
Appliances Energy Prediction,3,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,108.08832618225884,46.269012451171875,78.05239679999067,0.82,153.5936543715388,0.85,183.01812750356694
Appliances Energy Prediction,3,lmjgp_supervised,random_row,35,raw,200,0,110.44605735032,44.1819953918457,81.59983170000487,0.795,131.71523996343765,0.825,156.94838878876422
Appliances Energy Prediction,3,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,109.05457601773618,45.471378326416016,78.53995679999935,0.815,152.1777143935171,0.855,181.3309309556672
Appliances Energy Prediction,4,xgb_bootstrap,random_row,35,raw,200,0,87.90035385287138,33.971500396728516,5.103651500015985,0.895,138.96261661768926,0.915,165.58417071609358
Appliances Energy Prediction,4,dkl_svgp,random_row,35,raw,200,0,98.44260583097802,43.67717361450195,1.21119230001932,0.56,50.38378326813041,0.63,60.035980705121304
Appliances Energy Prediction,4,lmjgp_transductive,random_row,35,raw,200,0,90.71876463571841,33.3468132019043,80.09148350000032,0.87,122.10523146632927,0.89,145.49735737974754
Appliances Energy Prediction,4,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,88.40765917986597,35.947669982910156,80.32311430000118,0.8,125.6697391171524,0.86,149.7447302181314
Appliances Energy Prediction,4,lmjgp_supervised,random_row,35,raw,200,0,98.88195913196445,36.976932525634766,79.90424820000771,0.815,119.40720390645555,0.845,142.2824592514261
Appliances Energy Prediction,4,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,93.71371431080264,37.1906623840332,77.16118660001666,0.835,122.1862993460482,0.87,145.59395571649233
