dataset,seed,method,metric,value
Wine Quality,8,cem_em_coeff,w90,1.6534815029042031
Wine Quality,8,cem_em_coeff,cov95,0.84
Wine Quality,8,cem_em_coeff,w95,1.9702447328409063
Wine Quality,9,xgb_bootstrap,rmse,0.5550809115099616
Wine Quality,9,xgb_bootstrap,crps,0.3054204285144806
Wine Quality,9,xgb_bootstrap,wall_sec,5.399942399999418
Wine Quality,9,xgb_bootstrap,cov90,0.875
Wine Quality,9,xgb_bootstrap,w90,1.6755444251466474
Wine Quality,9,xgb_bootstrap,cov95,0.925
Wine Quality,9,xgb_bootstrap,w95,1.9965343262006774
Wine Quality,9,dkl_svgp,rmse,0.5980202555656433
Wine Quality,9,dkl_svgp,crps,0.3547897934913635
Wine Quality,9,dkl_svgp,wall_sec,7.891725200002838
Wine Quality,9,dkl_svgp,cov90,0.675
Wine Quality,9,dkl_svgp,w90,1.0996350464715519
Wine Quality,9,dkl_svgp,cov95,0.745
Wine Quality,9,dkl_svgp,w95,1.3102959752210561
Wine Quality,9,pls_only,rmse,0.6264704046031595
Wine Quality,9,pls_only,crps,0.3204840421676636
Wine Quality,9,pls_only,wall_sec,18.12836960000277
Wine Quality,9,pls_only,cov90,0.815
Wine Quality,9,pls_only,w90,1.422322246591454
Wine Quality,9,pls_only,cov95,0.875
Wine Quality,9,pls_only,w95,1.6948014899635764
Wine Quality,9,cem_em_coeff,rmse,0.6979207233691691
Wine Quality,9,cem_em_coeff,crps,0.3621390163898468
Wine Quality,9,cem_em_coeff,wall_sec,22.559880600005272
Wine Quality,9,cem_em_coeff,cov90,0.785
Wine Quality,9,cem_em_coeff,w90,1.2521449992596525
Wine Quality,9,cem_em_coeff,cov95,0.83
Wine Quality,9,cem_em_coeff,w95,1.4920227926416316
Parkinsons Telemonitoring,0,xgb_bootstrap,rmse,2.4742706628680606
Parkinsons Telemonitoring,0,xgb_bootstrap,crps,1.3035420179367065
Parkinsons Telemonitoring,0,xgb_bootstrap,wall_sec,7.619108200000483
Parkinsons Telemonitoring,0,xgb_bootstrap,cov90,0.845
Parkinsons Telemonitoring,0,xgb_bootstrap,w90,6.431430293269061
Parkinsons Telemonitoring,0,xgb_bootstrap,cov95,0.895
Parkinsons Telemonitoring,0,xgb_bootstrap,w95,7.663521870483817
Parkinsons Telemonitoring,0,dkl_svgp,rmse,4.851797103881836
Parkinsons Telemonitoring,0,dkl_svgp,crps,2.7340080738067627
Parkinsons Telemonitoring,0,dkl_svgp,wall_sec,7.310959299997194
Parkinsons Telemonitoring,0,dkl_svgp,cov90,0.68
Parkinsons Telemonitoring,0,dkl_svgp,w90,7.96814515129496
Parkinsons Telemonitoring,0,dkl_svgp,cov95,0.725
Parkinsons Telemonitoring,0,dkl_svgp,w95,9.49463056422244
Parkinsons Telemonitoring,0,pls_only,rmse,7.130757224495248
Parkinsons Telemonitoring,0,pls_only,crps,3.7980148792266846
Parkinsons Telemonitoring,0,pls_only,wall_sec,29.047915700000885
Parkinsons Telemonitoring,0,pls_only,cov90,0.625
Parkinsons Telemonitoring,0,pls_only,w90,9.99022441008157
Parkinsons Telemonitoring,0,pls_only,cov95,0.655
Parkinsons Telemonitoring,0,pls_only,w95,11.90408661317951
Parkinsons Telemonitoring,0,cem_em_coeff,rmse,3.9584987706162917
Parkinsons Telemonitoring,0,cem_em_coeff,crps,1.0011862516403198
Parkinsons Telemonitoring,0,cem_em_coeff,wall_sec,63.3997748000038
Parkinsons Telemonitoring,0,cem_em_coeff,cov90,0.665
Parkinsons Telemonitoring,0,cem_em_coeff,w90,1.2783978925339516
Parkinsons Telemonitoring,0,cem_em_coeff,cov95,0.735
Parkinsons Telemonitoring,0,cem_em_coeff,w95,1.5233050444265301
Parkinsons Telemonitoring,1,xgb_bootstrap,rmse,2.5479237213933454
Parkinsons Telemonitoring,1,xgb_bootstrap,crps,1.2672905921936035
Parkinsons Telemonitoring,1,xgb_bootstrap,wall_sec,7.800549800005683
Parkinsons Telemonitoring,1,xgb_bootstrap,cov90,0.87
Parkinsons Telemonitoring,1,xgb_bootstrap,w90,6.442517471647232
Parkinsons Telemonitoring,1,xgb_bootstrap,cov95,0.9
Parkinsons Telemonitoring,1,xgb_bootstrap,w95,7.67673305837028
Parkinsons Telemonitoring,1,dkl_svgp,rmse,3.968233823776245
Parkinsons Telemonitoring,1,dkl_svgp,crps,2.1699464321136475
Parkinsons Telemonitoring,1,dkl_svgp,wall_sec,7.477658700001484
Parkinsons Telemonitoring,1,dkl_svgp,cov90,0.75
Parkinsons Telemonitoring,1,dkl_svgp,w90,8.222658899003081
Parkinsons Telemonitoring,1,dkl_svgp,cov95,0.795
Parkinsons Telemonitoring,1,dkl_svgp,w95,9.797902400028743
Parkinsons Telemonitoring,1,pls_only,rmse,6.620813456574768
Parkinsons Telemonitoring,1,pls_only,crps,3.6408069133758545
Parkinsons Telemonitoring,1,pls_only,wall_sec,30.35627569999633
Parkinsons Telemonitoring,1,pls_only,cov90,0.655
Parkinsons Telemonitoring,1,pls_only,w90,10.572939611140058
Parkinsons Telemonitoring,1,pls_only,cov95,0.685
Parkinsons Telemonitoring,1,pls_only,w95,12.598434601720832
Parkinsons Telemonitoring,1,cem_em_coeff,rmse,4.645280714926151
Parkinsons Telemonitoring,1,cem_em_coeff,crps,1.3919693231582642
Parkinsons Telemonitoring,1,cem_em_coeff,wall_sec,92.81420680000156
Parkinsons Telemonitoring,1,cem_em_coeff,cov90,0.655
Parkinsons Telemonitoring,1,cem_em_coeff,w90,1.4672089025326014
Parkinsons Telemonitoring,1,cem_em_coeff,cov95,0.705
Parkinsons Telemonitoring,1,cem_em_coeff,w95,1.748287239448862
Parkinsons Telemonitoring,2,xgb_bootstrap,rmse,2.141066571574774
Parkinsons Telemonitoring,2,xgb_bootstrap,crps,1.0717031955718994
Parkinsons Telemonitoring,2,xgb_bootstrap,wall_sec,14.715696899998875
Parkinsons Telemonitoring,2,xgb_bootstrap,cov90,0.92
Parkinsons Telemonitoring,2,xgb_bootstrap,w90,6.2752350374974455
Parkinsons Telemonitoring,2,xgb_bootstrap,cov95,0.955
Parkinsons Telemonitoring,2,xgb_bootstrap,w95,7.477403743708139
Parkinsons Telemonitoring,2,dkl_svgp,rmse,3.9894161224365234
Parkinsons Telemonitoring,2,dkl_svgp,crps,2.101947546005249
Parkinsons Telemonitoring,2,dkl_svgp,wall_sec,9.165057500002149
Parkinsons Telemonitoring,2,dkl_svgp,cov90,0.775
Parkinsons Telemonitoring,2,dkl_svgp,w90,7.968143574797029
Parkinsons Telemonitoring,2,dkl_svgp,cov95,0.805
Parkinsons Telemonitoring,2,dkl_svgp,w95,9.49462868570929
Parkinsons Telemonitoring,2,pls_only,rmse,7.441300204583857
Parkinsons Telemonitoring,2,pls_only,crps,4.187077522277832
Parkinsons Telemonitoring,2,pls_only,wall_sec,31.481658500000776
Parkinsons Telemonitoring,2,pls_only,cov90,0.63
Parkinsons Telemonitoring,2,pls_only,w90,11.779255379303146
Parkinsons Telemonitoring,2,pls_only,cov95,0.69
Parkinsons Telemonitoring,2,pls_only,w95,14.035848497305219
Parkinsons Telemonitoring,2,cem_em_coeff,rmse,2.182810685000069
Parkinsons Telemonitoring,2,cem_em_coeff,crps,0.4623744487762451
Parkinsons Telemonitoring,2,cem_em_coeff,wall_sec,52.7963707999952
Parkinsons Telemonitoring,2,cem_em_coeff,cov90,0.635
Parkinsons Telemonitoring,2,cem_em_coeff,w90,1.342996795562022
Parkinsons Telemonitoring,2,cem_em_coeff,cov95,0.675
Parkinsons Telemonitoring,2,cem_em_coeff,w95,1.6002793850616133
Parkinsons Telemonitoring,3,xgb_bootstrap,rmse,1.922804081888785
Parkinsons Telemonitoring,3,xgb_bootstrap,crps,1.0255155563354492
Parkinsons Telemonitoring,3,xgb_bootstrap,wall_sec,7.282039900004747
Parkinsons Telemonitoring,3,xgb_bootstrap,cov90,0.915
Parkinsons Telemonitoring,3,xgb_bootstrap,w90,6.2392580900219015
Parkinsons Telemonitoring,3,xgb_bootstrap,cov95,0.955
Parkinsons Telemonitoring,3,xgb_bootstrap,w95,7.434534566675989
Parkinsons Telemonitoring,3,dkl_svgp,rmse,3.6291122436523438
Parkinsons Telemonitoring,3,dkl_svgp,crps,1.9979043006896973
Parkinsons Telemonitoring,3,dkl_svgp,wall_sec,6.986650499995449
Parkinsons Telemonitoring,3,dkl_svgp,cov90,0.79
Parkinsons Telemonitoring,3,dkl_svgp,w90,8.23314784955453
Parkinsons Telemonitoring,3,dkl_svgp,cov95,0.82
Parkinsons Telemonitoring,3,dkl_svgp,w95,9.810400755493092
Parkinsons Telemonitoring,3,pls_only,rmse,6.872196214119615
Parkinsons Telemonitoring,3,pls_only,crps,3.6838772296905518
Parkinsons Telemonitoring,3,pls_only,wall_sec,26.309860800000024
Parkinsons Telemonitoring,3,pls_only,cov90,0.65
Parkinsons Telemonitoring,3,pls_only,w90,9.937494802648164
Parkinsons Telemonitoring,3,pls_only,cov95,0.705
Parkinsons Telemonitoring,3,pls_only,w95,11.841255410575814
Parkinsons Telemonitoring,3,cem_em_coeff,rmse,4.244156184825762
Parkinsons Telemonitoring,3,cem_em_coeff,crps,1.057715892791748
Parkinsons Telemonitoring,3,cem_em_coeff,wall_sec,123.40289359999588
Parkinsons Telemonitoring,3,cem_em_coeff,cov90,0.705
Parkinsons Telemonitoring,3,cem_em_coeff,w90,1.22770936601785
Parkinsons Telemonitoring,3,cem_em_coeff,cov95,0.74
Parkinsons Telemonitoring,3,cem_em_coeff,w95,1.4629059397444366
Parkinsons Telemonitoring,4,xgb_bootstrap,rmse,2.696070264832833
Parkinsons Telemonitoring,4,xgb_bootstrap,crps,1.3842092752456665
Parkinsons Telemonitoring,4,xgb_bootstrap,wall_sec,8.316014699994412
Parkinsons Telemonitoring,4,xgb_bootstrap,cov90,0.835
Parkinsons Telemonitoring,4,xgb_bootstrap,w90,6.242080042725046
Parkinsons Telemonitoring,4,xgb_bootstrap,cov95,0.88
Parkinsons Telemonitoring,4,xgb_bootstrap,w95,7.437897130720359
Parkinsons Telemonitoring,4,dkl_svgp,rmse,4.761358737945557
Parkinsons Telemonitoring,4,dkl_svgp,crps,2.709885597229004
Parkinsons Telemonitoring,4,dkl_svgp,wall_sec,8.184332600001653
Parkinsons Telemonitoring,4,dkl_svgp,cov90,0.68
Parkinsons Telemonitoring,4,dkl_svgp,w90,8.188236494125803
Parkinsons Telemonitoring,4,dkl_svgp,cov95,0.755
Parkinsons Telemonitoring,4,dkl_svgp,w95,9.756885574753076
Parkinsons Telemonitoring,4,pls_only,rmse,7.554679354530586
Parkinsons Telemonitoring,4,pls_only,crps,4.002237796783447
Parkinsons Telemonitoring,4,pls_only,wall_sec,33.64915679999831
Parkinsons Telemonitoring,4,pls_only,cov90,0.62
