dataset,seed,method,metric,value
Wine Quality,7,lmjgp_supervised,rmse,0.6440217482200089
Wine Quality,7,lmjgp_supervised,mean_crps,0.3392293453216553
Wine Quality,7,lmjgp_supervised,wall_sec,383.0946757999991
Wine Quality,7,lmjgp_supervised,coverage_90,0.88
Wine Quality,7,lmjgp_supervised,mean_width_90,1.8231591602517843
Wine Quality,7,lmjgp_supervised,coverage_95,0.92
Wine Quality,7,lmjgp_supervised,mean_width_95,2.1724281319794354
Wine Quality,7,cem_em_supervised,rmse,0.6669936252698199
Wine Quality,7,cem_em_supervised,mean_crps,4.320081304820132e+30
Wine Quality,7,cem_em_supervised,wall_sec,457.3224868000034
Wine Quality,7,cem_em_supervised,coverage_90,0.84
Wine Quality,7,cem_em_supervised,mean_width_90,6.081347659011324e+31
Wine Quality,7,cem_em_supervised,coverage_95,0.8830769230769231
Wine Quality,7,cem_em_supervised,mean_width_95,7.246372682546795e+31
Wine Quality,8,lmjgp_transductive,rmse,0.6511459365452669
Wine Quality,8,lmjgp_transductive,mean_crps,0.34279224276542664
Wine Quality,8,lmjgp_transductive,wall_sec,437.09687430000486
Wine Quality,8,lmjgp_transductive,coverage_90,0.8830769230769231
Wine Quality,8,lmjgp_transductive,mean_width_90,1.8094001882034256
Wine Quality,8,lmjgp_transductive,coverage_95,0.9246153846153846
Wine Quality,8,lmjgp_transductive,mean_width_95,2.156033305572264
Wine Quality,8,cem_em_transductive,rmse,0.7010289660037743
Wine Quality,8,cem_em_transductive,mean_crps,0.3873976469039917
Wine Quality,8,cem_em_transductive,wall_sec,161.25727670000924
Wine Quality,8,cem_em_transductive,coverage_90,0.7353846153846154
Wine Quality,8,cem_em_transductive,mean_width_90,1.4958159285364754
Wine Quality,8,cem_em_transductive,coverage_95,0.78
Wine Quality,8,cem_em_transductive,mean_width_95,1.782374613397333
Wine Quality,8,lmjgp_supervised,rmse,0.6457771455785919
Wine Quality,8,lmjgp_supervised,mean_crps,0.34064221382141113
Wine Quality,8,lmjgp_supervised,wall_sec,413.4267967999913
Wine Quality,8,lmjgp_supervised,coverage_90,0.8738461538461538
Wine Quality,8,lmjgp_supervised,mean_width_90,1.8172523135996352
Wine Quality,8,lmjgp_supervised,coverage_95,0.916923076923077
Wine Quality,8,lmjgp_supervised,mean_width_95,2.165389690071464
Wine Quality,8,cem_em_supervised,rmse,0.6581864391123644
Wine Quality,8,cem_em_supervised,mean_crps,2.6967406708374685e+31
Wine Quality,8,cem_em_supervised,wall_sec,457.02067380001245
Wine Quality,8,cem_em_supervised,coverage_90,0.8569230769230769
Wine Quality,8,cem_em_supervised,mean_width_90,3.7961825328632764e+32
Wine Quality,8,cem_em_supervised,coverage_95,0.8984615384615384
Wine Quality,8,cem_em_supervised,mean_width_95,4.5234304872111114e+32
Wine Quality,9,lmjgp_transductive,rmse,0.6171581883519571
Wine Quality,9,lmjgp_transductive,mean_crps,6632170923753472.0
Wine Quality,9,lmjgp_transductive,wall_sec,450.48678870000003
Wine Quality,9,lmjgp_transductive,coverage_90,0.9061538461538462
Wine Quality,9,lmjgp_transductive,mean_width_90,9.336059103554168e+16
Wine Quality,9,lmjgp_transductive,coverage_95,0.9307692307692308
Wine Quality,9,lmjgp_transductive,mean_width_95,1.1124600572767757e+17
Wine Quality,9,cem_em_transductive,rmse,0.6393917935077518
Wine Quality,9,cem_em_transductive,mean_crps,0.3390943109989166
Wine Quality,9,cem_em_transductive,wall_sec,181.87625780000235
Wine Quality,9,cem_em_transductive,coverage_90,0.7646153846153846
Wine Quality,9,cem_em_transductive,mean_width_90,1.1821396012481011
Wine Quality,9,cem_em_transductive,coverage_95,0.8015384615384615
Wine Quality,9,cem_em_transductive,mean_width_95,1.408606215884993
Wine Quality,9,lmjgp_supervised,rmse,0.6252175806924042
Wine Quality,9,lmjgp_supervised,mean_crps,0.3371589481830597
Wine Quality,9,lmjgp_supervised,wall_sec,456.71747000000323
Wine Quality,9,lmjgp_supervised,coverage_90,0.8938461538461538
Wine Quality,9,lmjgp_supervised,mean_width_90,1.855508641314593
Wine Quality,9,lmjgp_supervised,coverage_95,0.9307692307692308
Wine Quality,9,lmjgp_supervised,mean_width_95,2.2109749161812475
Wine Quality,9,cem_em_supervised,rmse,0.6241883679735559
Wine Quality,9,cem_em_supervised,mean_crps,0.3355645537376404
Wine Quality,9,cem_em_supervised,wall_sec,460.7757871999929
Wine Quality,9,cem_em_supervised,coverage_90,0.8769230769230769
Wine Quality,9,cem_em_supervised,mean_width_90,1.7550157044917132
Wine Quality,9,cem_em_supervised,coverage_95,0.9230769230769231
Wine Quality,9,cem_em_supervised,mean_width_95,2.0912301962583273
Parkinsons Telemonitoring,0,lmjgp_transductive,rmse,4.199345856278559
Parkinsons Telemonitoring,0,lmjgp_transductive,mean_crps,1.5826107263565063
Parkinsons Telemonitoring,0,lmjgp_transductive,wall_sec,934.9552925000025
Parkinsons Telemonitoring,0,lmjgp_transductive,coverage_90,0.9574829931972789
Parkinsons Telemonitoring,0,lmjgp_transductive,mean_width_90,9.341076735694678
Parkinsons Telemonitoring,0,lmjgp_transductive,coverage_95,0.9659863945578231
Parkinsons Telemonitoring,0,lmjgp_transductive,mean_width_95,11.13057945023256
Parkinsons Telemonitoring,0,cem_em_transductive,rmse,4.4241778224425445
Parkinsons Telemonitoring,0,cem_em_transductive,mean_crps,1.2070953845977783
Parkinsons Telemonitoring,0,cem_em_transductive,wall_sec,412.81997989999945
Parkinsons Telemonitoring,0,cem_em_transductive,coverage_90,0.6258503401360545
Parkinsons Telemonitoring,0,cem_em_transductive,mean_width_90,1.6797554957073138
Parkinsons Telemonitoring,0,cem_em_transductive,coverage_95,0.6683673469387755
Parkinsons Telemonitoring,0,cem_em_transductive,mean_width_95,2.0015521262650875
Parkinsons Telemonitoring,0,lmjgp_supervised,rmse,4.36191834250839
Parkinsons Telemonitoring,0,lmjgp_supervised,mean_crps,1.6792045831680298
Parkinsons Telemonitoring,0,lmjgp_supervised,wall_sec,931.0899532999902
Parkinsons Telemonitoring,0,lmjgp_supervised,coverage_90,0.9608843537414966
Parkinsons Telemonitoring,0,lmjgp_supervised,mean_width_90,9.861759362377484
Parkinsons Telemonitoring,0,lmjgp_supervised,coverage_95,0.9710884353741497
Parkinsons Telemonitoring,0,lmjgp_supervised,mean_width_95,11.751011067339677
Parkinsons Telemonitoring,0,cem_em_supervised,rmse,3.1558649716712477
Parkinsons Telemonitoring,0,cem_em_supervised,mean_crps,0.7057284712791443
Parkinsons Telemonitoring,0,cem_em_supervised,wall_sec,1374.9322522000002
Parkinsons Telemonitoring,0,cem_em_supervised,coverage_90,0.8180272108843537
Parkinsons Telemonitoring,0,cem_em_supervised,mean_width_90,2.5968679581660856
Parkinsons Telemonitoring,0,cem_em_supervised,coverage_95,0.8452380952380952
Parkinsons Telemonitoring,0,cem_em_supervised,mean_width_95,3.094359028191971
Parkinsons Telemonitoring,1,lmjgp_transductive,rmse,4.263450631491401
Parkinsons Telemonitoring,1,lmjgp_transductive,mean_crps,1.6918914318084717
Parkinsons Telemonitoring,1,lmjgp_transductive,wall_sec,970.8862301000045
Parkinsons Telemonitoring,1,lmjgp_transductive,coverage_90,0.9370748299319728
Parkinsons Telemonitoring,1,lmjgp_transductive,mean_width_90,9.622837270832585
Parkinsons Telemonitoring,1,lmjgp_transductive,coverage_95,0.9540816326530612
Parkinsons Telemonitoring,1,lmjgp_transductive,mean_width_95,11.466317835755975
Parkinsons Telemonitoring,1,cem_em_transductive,rmse,4.413466780083694
Parkinsons Telemonitoring,1,cem_em_transductive,mean_crps,1.1678237915039062
Parkinsons Telemonitoring,1,cem_em_transductive,wall_sec,465.9514565999998
Parkinsons Telemonitoring,1,cem_em_transductive,coverage_90,0.6615646258503401
Parkinsons Telemonitoring,1,cem_em_transductive,mean_width_90,1.036044421068271
Parkinsons Telemonitoring,1,cem_em_transductive,coverage_95,0.6887755102040817
Parkinsons Telemonitoring,1,cem_em_transductive,mean_width_95,1.2345230714789739
Parkinsons Telemonitoring,1,lmjgp_supervised,rmse,4.3128845829288025
Parkinsons Telemonitoring,1,lmjgp_supervised,mean_crps,1.7444802522659302
Parkinsons Telemonitoring,1,lmjgp_supervised,wall_sec,945.8096562999999
Parkinsons Telemonitoring,1,lmjgp_supervised,coverage_90,0.9489795918367347
Parkinsons Telemonitoring,1,lmjgp_supervised,mean_width_90,10.065313014435414
Parkinsons Telemonitoring,1,lmjgp_supervised,coverage_95,0.95578231292517
Parkinsons Telemonitoring,1,lmjgp_supervised,mean_width_95,11.993560203881726
Parkinsons Telemonitoring,1,cem_em_supervised,rmse,3.435930607267357
Parkinsons Telemonitoring,1,cem_em_supervised,mean_crps,0.817567765712738
Parkinsons Telemonitoring,1,cem_em_supervised,wall_sec,1381.3038671999966
