dataset,dataset_folder,seed,method,anchor,raw_pair_y_abs_corr,proj_pair_y_abs_corr_median,proj_minus_raw_pair_y_abs_corr,raw_anchor_knn_abs_y,proj_anchor_knn_abs_y_median,proj_minus_raw_anchor_knn_abs_y,all_neighbor_abs_y,near_threshold,threshold_distance,shock_location,lmjgp_anchor,lmjgp_abs_error,lmjgp_kappa_EW_raw,lmjgp_eff_rank_EW_raw,lmjgp_trace_E_WtW_A,lmjgp_eff_rank_E_WWt_B,lmjgp_kappa_K_metric_plus_noise,lmjgp_kappa_K_sampled_norm_plus_noise,lmjgp_kappa_K_EW_Z_plus_noise
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,6.0,-0.27468349687228166,-0.21139957564323086,0.0632839212290508,0.10389061272144318,0.10389061272144318,0.0,0.11168261617422104,0,0.4842519760131836,0.015748031437397003,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,7.0,0.04396329760888791,-0.10106535661826993,-0.14502865422715783,0.5085366368293762,0.5033094882965088,-0.005227148532867432,0.45906388759613037,0,0.33464565873146057,0.16535432636737823,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,0.0,0.158374170631343,0.029166394653447097,-0.1292077759778959,0.07949713617563248,0.07583317160606384,-0.003663964569568634,0.07443172484636307,1,0.09842519462108612,0.4015747904777527,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,1.0,-0.07340377860033029,-0.036858071699726776,0.03654570690060351,0.2538348436355591,0.2538348436355591,0.0,0.2621433138847351,1,0.08267716318368912,0.4173228442668915,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,2.0,0.16149304821816252,0.3226463895210962,0.16115334130293368,0.10907306522130966,0.10033891350030899,-0.008734151721000671,0.10959672182798386,0,0.5,0.0,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,3.0,-0.11872729432160786,-0.13724802180523854,-0.018520727483630678,0.36835718154907227,0.6876398324966431,0.3192826509475708,0.5746539235115051,0,0.4763779640197754,0.023622047156095505,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,4.0,0.137688680325182,-0.04752023848668481,-0.1852089188118668,0.730478048324585,0.7436109781265259,0.013132929801940918,0.6749258041381836,1,0.019685039296746254,0.4803149700164795,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,5.0,0.028508730337246966,-0.07468809070109249,-0.10319682103833945,0.826001763343811,0.8159869313240051,-0.010014832019805908,0.6941273212432861,1,0.019685039296746254,0.4803149700164795,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,6.0,-0.27468349687228166,-0.24670310401702297,0.02798039285525869,0.10389061272144318,0.11286352574825287,0.008972913026809692,0.11168261617422104,0,0.4842519760131836,0.015748031437397003,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,7.0,0.04396329760888791,-0.07943979360491928,-0.12340309121380719,0.5085366368293762,0.5033094882965088,-0.005227148532867432,0.45906388759613037,0,0.33464565873146057,0.16535432636737823,,,,,,,,,
