dataset,seed,method,anchor,raw_pair_y_abs_corr,proj_pair_y_abs_corr_median,proj_minus_raw_pair_y_abs_corr,raw_anchor_knn_abs_y,proj_anchor_knn_abs_y_median,proj_minus_raw_anchor_knn_abs_y,all_neighbor_abs_y,lmjgp_anchor,lmjgp_abs_error,lmjgp_kappa_EW_raw,lmjgp_eff_rank_EW_raw,lmjgp_trace_E_WtW_A,lmjgp_eff_rank_E_WWt_B,lmjgp_kappa_K_metric_plus_noise,lmjgp_kappa_K_sampled_norm_plus_noise,lmjgp_kappa_K_EW_Z_plus_noise
Wine Quality,0,lmjgp_transductive,62.0,-0.1250559247780406,-0.13190722270965116,-0.006851297931610573,0.800000011920929,0.8999999761581421,0.09999996423721313,0.800000011920929,62,,37423.87109375,1.0000003576278687,33.03872299194336,2.619030237197876,1.215108036994934,33.79991340637207,30.89870834350586
Wine Quality,0,lmjgp_transductive,63.0,-0.08281050589610887,-0.0724723894511782,0.01033811644493067,1.600000023841858,1.399999976158142,-0.20000004768371582,1.559999942779541,63,,33081474.0,1.0000001192092896,28.51596450805664,2.8643903732299805,1.1736704111099243,30.18638515472412,38.57887268066406
Wine Quality,0,lmjgp_supervised,0.0,-0.10596128081957278,-0.0747983390926356,0.031162941726937177,0.5,0.4000000059604645,-0.09999999403953552,0.3199999928474426,0,,4.566915035247803,1.3701049089431763,41.48949432373047,2.9998066425323486,56.08140563964844,421.6079559326172,643.9063720703125
Wine Quality,0,lmjgp_supervised,1.0,-0.050667562615889145,0.002971448424443269,0.05363901104033241,0.5,0.4000000059604645,-0.09999999403953552,0.4000000059604645,1,,6.471241474151611,1.2185114622116089,41.23906326293945,3.000000238418579,7.402716159820557,432.27210998535156,681.23388671875
Wine Quality,0,lmjgp_supervised,2.0,0.029681428876856628,-0.026067986439862606,-0.05574941531671923,0.4000000059604645,0.45000000298023224,0.04999999701976776,0.47999998927116394,2,,4.3647027015686035,1.4863020181655884,41.262847900390625,2.9999985694885254,55.87779235839844,408.39796447753906,675.6577758789062
Wine Quality,0,lmjgp_supervised,3.0,0.3367662913224488,0.14961318989433198,-0.1871531014281168,1.2999999523162842,1.2000000476837158,-0.09999990463256836,1.1200000047683716,3,,17.13572883605957,1.0717624425888062,41.23873519897461,2.999999761581421,1.3770698308944702,304.3478698730469,681.2899169921875
Wine Quality,0,lmjgp_supervised,4.0,0.21512254254345986,0.10355400162944817,-0.1115685409140117,0.5,0.800000011920929,0.30000001192092896,0.9200000166893005,4,,3.842383861541748,1.6516367197036743,41.258453369140625,2.9999990463256836,2.0669126510620117,404.4601745605469,676.6691284179688
Wine Quality,0,lmjgp_supervised,5.0,-0.04488703958759731,-0.0041112800164623,0.04077575957113501,1.2000000476837158,1.25,0.04999995231628418,1.2799999713897705,5,,1.8312169313430786,2.4615225791931152,40.520263671875,2.998481273651123,2.018895387649536,425.7107391357422,544.0153198242188
Wine Quality,0,lmjgp_supervised,6.0,0.17992275805243726,0.12365534023922019,-0.05626741781321708,1.100000023841858,0.800000011920929,-0.30000001192092896,1.159999966621399,6,,39.532569885253906,1.0261696577072144,41.238731384277344,2.999999761581421,1.9460160732269287,334.1829071044922,681.290283203125
Wine Quality,0,lmjgp_supervised,7.0,0.2500629037259817,0.17149634226638694,-0.07856656145959479,0.30000001192092896,0.45000000298023224,0.14999999105930328,0.4000000059604645,7,,4.679296970367432,1.315236210823059,41.33097839355469,2.999974489212036,65.81307983398438,461.8136749267578,673.8588256835938
Wine Quality,0,lmjgp_supervised,8.0,0.10476400413059278,0.023171604279176753,-0.08159239985141603,0.20000000298023224,0.3500000089406967,0.15000000596046448,0.3199999928474426,8,,2.3492419719696045,2.2760677337646484,41.33818054199219,2.999992609024048,56.07658004760742,436.79193115234375,654.0279541015625
Wine Quality,0,lmjgp_supervised,9.0,-0.03868922344569741,-0.08836746645441067,-0.049678243008713256,0.30000001192092896,0.45000000298023224,0.14999999105930328,0.36000001430511475,9,,1.9017354249954224,2.513693332672119,43.32791519165039,2.996258020401001,2.1090176105499268,471.7098846435547,398.7431335449219
Wine Quality,0,lmjgp_supervised,10.0,0.2100812502272743,0.1164573828000676,-0.09362386742720671,0.8999999761581421,1.0,0.10000002384185791,0.8399999737739563,10,,4.210848331451416,1.2619743347167969,43.064720153808594,2.990474224090576,2.3519911766052246,385.4739227294922,448.4322509765625
Wine Quality,0,lmjgp_supervised,11.0,0.2404116316170105,0.11651476074704378,-0.12389687086996673,0.6000000238418579,0.800000011920929,0.19999998807907104,0.8799999952316284,11,,1.8528687953948975,2.2741689682006836,41.30546188354492,2.9999773502349854,1.9135981798171997,395.2361297607422,617.7916870117188
Wine Quality,0,lmjgp_supervised,12.0,0.08269584275498691,0.04307951582971121,-0.039616326925275704,1.0,1.0,0.0,0.9599999785423279,12,,3.8299949169158936,1.4121100902557373,41.2840690612793,2.9999825954437256,2.5110714435577393,418.62095642089844,649.733154296875
Wine Quality,0,lmjgp_supervised,13.0,0.023061849125013235,0.04344221905766432,0.020380369932651087,0.699999988079071,0.550000011920929,-0.1499999761581421,0.6000000238418579,13,,9.05996036529541,1.268846869468689,41.23891067504883,3.000000238418579,2.7558438777923584,430.70391845703125,681.2673950195312
Wine Quality,0,lmjgp_supervised,14.0,-0.10648815873263975,-0.07179306953923756,0.034695089193402195,0.6000000238418579,0.6000000238418579,0.0,0.6000000238418579,14,,24.265661239624023,1.0213184356689453,41.23872756958008,3.000000476837158,2.755457878112793,420.44122314453125,681.2911987304688
Wine Quality,0,lmjgp_supervised,15.0,0.0095872495119324,0.004004526112153016,-0.0055827233997793844,0.20000000298023224,0.20000000298023224,0.0,0.36000001430511475,15,,13.309653282165527,1.065842866897583,41.239173889160156,3.000000238418579,4.712732315063477,405.5365295410156,681.2505493164062
Wine Quality,0,lmjgp_supervised,16.0,-0.019512350949996985,0.03512566931589364,0.054638020265890624,1.7000000476837158,1.6500000357627869,-0.050000011920928955,1.6799999475479126,16,,2.751358985900879,1.902435541152954,41.51197814941406,2.9998457431793213,1.683016061782837,410.7934265136719,608.4979248046875
Wine Quality,0,lmjgp_supervised,17.0,0.16026290269517451,0.046637176167565894,-0.11362572652760862,1.5,1.75,0.25,1.840000033378601,17,,2.851579427719116,1.927314043045044,41.36689758300781,2.9998528957366943,2.5087153911590576,385.23199462890625,593.3952026367188
Wine Quality,0,lmjgp_supervised,18.0,-0.059589877239187246,-0.11698834906780972,-0.057398471828622476,0.30000001192092896,0.45000000298023224,0.14999999105930328,0.5199999809265137,18,,3.4844300746917725,1.794187307357788,42.04530334472656,2.999040126800537,2.0576987266540527,437.0043640136719,568.6886596679688
Wine Quality,0,lmjgp_supervised,19.0,0.06015673086460929,0.06052090914552136,0.00036417828091206417,0.699999988079071,0.699999988079071,0.0,0.7200000286102295,19,,5.815751075744629,1.2718207836151123,41.24312210083008,3.000000238418579,56.11517333984375,415.4256591796875,680.2552490234375
Wine Quality,0,lmjgp_supervised,20.0,-0.006964494253070025,-0.06139240137806422,-0.05442790712499419,0.30000001192092896,0.30000001192092896,0.0,0.3199999928474426,20,,4.051011562347412,1.5357818603515625,41.31322479248047,2.9999873638153076,55.904361724853516,404.0666046142578,668.6847534179688
Wine Quality,0,lmjgp_supervised,21.0,0.31221604963211247,0.22978866329797862,-0.08242738633413385,0.5,0.6000000238418579,0.10000002384185791,0.6000000238418579,21,,3.1105403900146484,1.9685587882995605,41.30046844482422,2.999995231628418,1.8892438411712646,351.30274963378906,644.7590942382812
Wine Quality,0,lmjgp_supervised,22.0,0.2521460112937206,0.13692613500651493,-0.11521987628720567,0.20000000298023224,0.30000001192092896,0.10000000894069672,0.2800000011920929,22,,4.612283229827881,1.5072678327560425,41.35308837890625,2.999971866607666,5.714703559875488,445.68585205078125,663.2301635742188
